33001:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
33084:ApriltagsCameraLog(1):,7,-3.495846,-2.532000,-2.532000,-2.532000,-3.714951,1.805605,1.845973,5.844529,5.864628,12.852522,28717,1.981565
33089:ApriltagsCameraLog(1):,8,-3.495846,-2.992000,-2.992000,-2.992000,-3.555388,1.797871,1.818942,5.753439,5.851470,13.123434,28717,2.015429
33094:ApriltagsCameraLog(1):,15,-3.495846,-8.080000,-3.495846,-8.080000,-3.480617,1.866694,1.804615,5.900128,5.786177,38.621326,28713,2.788833
33103:ApriltagsCameraLog(1):,15,-3.480617,-8.057000,-3.480617,-8.057000,-3.929763,1.868857,1.858925,5.899236,5.888785,38.583241,28714,2.786453
33130:ApriltagsCameraLog(1):,7,-3.929763,-2.548000,-2.548000,-2.548000,-4.130316,1.805688,1.865305,5.844015,5.895976,12.852522,28718,1.981565
33144:ApriltagsCameraLog(1):,8,-3.929763,-3.005000,-3.005000,-3.005000,-3.916621,1.798046,1.825147,5.753023,5.861813,13.123434,28718,2.015429
33162:ApriltagsCameraLog(1):,7,-3.916621,-2.560000,-2.560000,-2.560000,-3.795449,1.805750,1.806576,5.843628,5.789412,12.852522,28719,1.981565
33165:ApriltagsCameraLog(1):,8,-3.916621,-3.000000,-3.000000,-3.000000,-3.628477,1.797978,1.806364,5.753183,5.825561,13.123434,28719,2.015429
33170:ApriltagsCameraLog(1):,15,-3.628477,-8.058000,-3.628477,-8.058000,-3.544764,1.872320,1.800542,5.903851,5.777336,38.569069,28716,2.785567
33181:ApriltagsCameraLog(1):,7,-3.544764,-2.610000,-2.610000,-2.610000,-3.769786,1.806007,1.845218,5.842019,5.863432,12.852522,28721,1.981565
33185:ApriltagsCameraLog(1):,8,-3.544764,-3.022000,-3.022000,-3.022000,-3.613402,1.800811,1.818953,5.752344,5.849386,13.143052,28721,2.017881
33191:ApriltagsCameraLog(1):,15,-3.613402,-8.093000,-3.613402,-8.093000,-3.535086,1.871951,1.806568,5.903122,5.784746,38.569069,28719,2.785567
33202:ApriltagsCameraLog(1):,7,-3.535086,-2.564000,-2.564000,-2.564000,-3.756970,1.805770,1.847153,5.843500,5.865276,12.852522,28723,1.981565
33208:ApriltagsCameraLog(1):,8,-3.535086,-2.952000,-2.952000,-2.952000,-3.595779,1.797332,1.819434,5.754721,5.851008,13.123434,28723,2.015429
33213:ApriltagsCameraLog(1):,15,-3.595779,-8.127000,-3.595779,-8.127000,-3.510103,1.871519,1.804385,5.902271,5.786889,38.569069,28721,2.785567
33228:ApriltagsCameraLog(1):,7,-3.510103,-2.528000,-2.528000,-2.528000,-3.737517,1.805584,1.846176,5.844658,5.865487,12.852522,28725,1.981565
33232:ApriltagsCameraLog(1):,8,-3.510103,-2.952000,-2.952000,-2.952000,-3.574128,1.797332,1.818988,5.754721,5.851850,13.123434,28725,2.015429
33258:ApriltagsCameraLog(1):,15,-3.574128,-8.042000,-3.574128,-8.042000,-3.491344,1.870988,1.804244,5.901224,5.787166,38.569069,28723,2.785567
33273:ApriltagsCameraLog(1):,7,-3.491344,-2.577000,-2.577000,-2.577000,-3.715504,1.805837,1.845852,5.843081,5.864849,12.852522,28727,1.981565
33276:ApriltagsCameraLog(1):,8,-3.491344,-2.950000,-2.950000,-2.950000,-3.561707,1.797305,1.819051,5.754785,5.850568,13.123434,28727,2.015429
33295:ApriltagsCameraLog(1):,7,-3.561707,-2.612000,-2.612000,-2.612000,-3.480332,1.806017,1.804256,5.841955,5.786780,12.852522,28728,1.981565
33299:ApriltagsCameraLog(1):,8,-3.561707,-2.973000,-2.973000,-2.973000,-3.362932,1.797615,1.805673,5.754048,5.823555,13.123434,28728,2.015429
33315:ApriltagsCameraLog(1):,15,-3.362932,-8.118000,-3.362932,-8.118000,-3.310900,1.865985,1.800163,5.893538,5.777233,38.583241,28726,2.786453
33330:ApriltagsCameraLog(1):,7,-3.310900,-2.580000,-2.580000,-2.580000,-3.547636,1.805853,1.840932,5.842985,5.856480,12.852522,28730,1.981565
33335:ApriltagsCameraLog(1):,8,-3.310900,-2.984000,-2.984000,-2.984000,-3.416894,1.797763,1.817480,5.753696,5.847655,13.123434,28730,2.015429
33340:ApriltagsCameraLog(1):,15,-3.416894,-8.141000,-3.416894,-8.141000,-3.359210,1.864765,1.804129,5.896303,5.785059,38.621326,28728,2.788833
33354:ApriltagsCameraLog(1):,7,-3.359210,-2.538000,-2.538000,-2.538000,-3.597235,1.805636,1.841592,5.844336,5.860787,12.852522,28732,1.981565
33358:ApriltagsCameraLog(1):,8,-3.359210,-3.000000,-3.000000,-3.000000,-3.454559,1.797978,1.817534,5.753183,5.850012,13.123434,28732,2.015429
33370:ApriltagsCameraLog(1):,15,-3.454559,-8.001000,-3.454559,-8.001000,-3.394403,1.868067,1.804275,5.895439,5.785504,38.569069,28730,2.785567
33395:ApriltagsCameraLog(1):,7,-3.394403,-2.604000,-2.604000,-2.604000,-3.621495,1.805976,1.843982,5.842212,5.860386,12.852522,28734,1.981565
33397:ApriltagsCameraLog(1):,8,-3.394403,-3.020000,-3.020000,-3.020000,-3.484470,1.798247,1.818552,5.752542,5.848465,13.123434,28734,2.015429
33415:ApriltagsCameraLog(1):,7,-3.484470,-2.526000,-2.526000,-2.526000,-3.423034,1.805574,1.804791,5.844723,5.784564,12.852522,28735,1.981565
33421:ApriltagsCameraLog(1):,8,-3.484470,-3.016000,-3.016000,-3.016000,-3.302242,1.800730,1.805584,5.752536,5.824666,13.143052,28735,2.017881
33426:ApriltagsCameraLog(1):,15,-3.302242,-8.123000,-3.302242,-8.123000,-3.264437,1.864362,1.802244,5.888062,5.776587,38.569069,28732,2.785567
33444:ApriltagsCameraLog(1):,7,-3.264437,-2.588000,-2.588000,-2.588000,-3.503984,1.805894,1.840639,5.842727,5.852535,12.852522,28736,1.981565
33453:ApriltagsCameraLog(1):,8,-3.264437,-3.017000,-3.017000,-3.017000,-3.381010,1.798207,1.817431,5.752638,5.846156,13.123434,28736,2.015429
33462:ApriltagsCameraLog(1):,15,-3.381010,-8.090000,-3.381010,-8.090000,-3.333235,1.866276,1.804444,5.891878,5.783846,38.569069,28735,2.785567
33470:ApriltagsCameraLog(1):,7,-3.333235,-2.542000,-2.542000,-2.542000,-3.567872,1.805657,1.842801,5.844208,5.857460,12.852522,28739,1.981565
33473:ApriltagsCameraLog(1):,8,-3.333235,-3.004000,-3.004000,-3.004000,-3.430101,1.798032,1.817970,5.753055,5.848816,13.123434,28739,2.015429
33476:ApriltagsCameraLog(1):,15,-3.430101,-8.076000,-3.430101,-8.076000,-3.374114,1.867471,1.804474,5.894255,5.785018,38.569069,28736,2.785567
33490:ApriltagsCameraLog(1):,7,-3.374114,-2.535000,-2.535000,-2.535000,-3.606046,1.805620,1.843609,5.844433,5.859447,12.852522,28740,1.981565
33497:ApriltagsCameraLog(1):,8,-3.374114,-2.979000,-2.979000,-2.979000,-3.462192,1.800233,1.818203,5.753724,5.849642,13.143052,28740,2.017881
33514:ApriltagsCameraLog(1):,15,-3.462192,-8.044000,-3.462192,-8.044000,-3.398738,1.868253,1.805990,5.895809,5.785740,38.569069,28737,2.785567
33533:ApriltagsCameraLog(1):,7,-3.398738,-2.516000,-2.516000,-2.516000,-3.630625,1.805522,1.844649,5.845044,5.860686,12.852522,28741,1.981565
33536:ApriltagsCameraLog(1):,8,-3.398738,-3.016000,-3.016000,-3.016000,-3.481272,1.800730,1.818478,5.752536,5.850477,13.143052,28741,2.017881
33538:ApriltagsCameraLog(1):,15,-3.481272,-8.082000,-3.481272,-8.082000,-3.420548,1.868718,1.806419,5.896732,5.785225,38.569069,28738,2.785567
33567:ApriltagsCameraLog(1):,7,-3.420548,-2.593000,-2.593000,-2.593000,-3.650622,1.805920,1.845054,5.842566,5.861136,12.852522,28742,1.981565
33570:ApriltagsCameraLog(1):,8,-3.420548,-2.975000,-2.975000,-2.975000,-3.508575,1.800179,1.818866,5.753852,5.848964,13.143052,28742,2.017881
33575:ApriltagsCameraLog(1):,15,-3.508575,-8.102000,-3.508575,-8.102000,-3.438466,1.869385,1.806153,5.898053,5.785607,38.569069,28739,2.785567
33589:ApriltagsCameraLog(1):,7,-3.438466,-2.502000,-2.502000,-2.502000,-3.668508,1.805449,1.845386,5.845495,5.862168,12.852522,28744,1.981565
33593:ApriltagsCameraLog(1):,8,-3.438466,-3.016000,-3.016000,-3.016000,-3.511451,1.798194,1.818664,5.752670,5.851287,13.123434,28744,2.015429
33596:ApriltagsCameraLog(1):,15,-3.511451,-8.061000,-3.511451,-8.061000,-3.445951,1.869455,1.804771,5.898192,5.785594,38.569069,28741,2.785567
33606:ApriltagsCameraLog(1):,7,-3.445951,-2.592000,-2.592000,-2.592000,-3.673467,1.805915,1.845000,5.842599,5.862276,12.852522,28746,1.981565
33611:ApriltagsCameraLog(1):,8,-3.445951,-3.009000,-3.009000,-3.009000,-3.527839,1.798099,1.818836,5.752894,5.849371,13.123434,28746,2.015429
33615:ApriltagsCameraLog(1):,15,-3.527839,-8.079000,-3.527839,-8.079000,-3.459225,1.869856,1.804759,5.898985,5.785108,38.569069,28743,2.785567
33639:ApriltagsCameraLog(1):,7,-3.459225,-2.512000,-2.512000,-2.512000,-3.686974,1.805501,1.845227,5.845173,5.862654,12.852522,28748,1.981565
33643:ApriltagsCameraLog(1):,8,-3.459225,-3.001000,-3.001000,-3.001000,-3.528755,1.800528,1.818640,5.753018,5.851235,13.143052,28748,2.017881
33646:ApriltagsCameraLog(1):,15,-3.528755,-8.055000,-3.528755,-8.055000,-3.459053,1.869878,1.806304,5.899030,5.785806,38.569069,28745,2.785567
33654:ApriltagsCameraLog(1):,7,-3.459053,-2.469000,-2.469000,-2.469000,-3.685627,1.805278,1.845789,5.846557,5.862870,12.852522,28749,1.981565
33657:ApriltagsCameraLog(1):,8,-3.459053,-2.976000,-2.976000,-2.976000,-3.521799,1.797656,1.818682,5.753952,5.852243,13.123434,28749,2.015429
33660:ApriltagsCameraLog(1):,15,-3.521799,-8.083000,-3.521799,-8.083000,-3.449620,1.869864,1.804394,5.901228,5.786774,38.583241,28746,2.786453
33681:ApriltagsCameraLog(1):,7,-3.449620,-2.508000,-2.508000,-2.508000,-3.677959,1.805480,1.845087,5.845302,5.864719,12.852522,28750,1.981565
33684:ApriltagsCameraLog(1):,8,-3.449620,-2.966000,-2.966000,-2.966000,-3.520416,1.797521,1.818569,5.754272,5.852008,13.123434,28750,2.015429
33693:ApriltagsCameraLog(1):,15,-3.520416,-8.056000,-3.520416,-8.056000,-3.447097,1.869674,1.804263,5.898626,5.786910,38.569069,28748,2.785567
33710:ApriltagsCameraLog(1):,7,-3.447097,-2.576000,-2.576000,-2.576000,-3.671563,1.805832,1.845003,5.843113,5.863020,12.852522,28752,1.981565
33713:ApriltagsCameraLog(1):,8,-3.447097,-2.930000,-2.930000,-2.930000,-3.526414,1.797036,1.818779,5.755425,5.849966,13.123434,28752,2.015429
33724:ApriltagsCameraLog(1):,15,-3.526414,-8.099000,-3.526414,-8.099000,-3.444795,1.869821,1.803999,5.898916,5.787005,38.569069,28749,2.785567
33750:ApriltagsCameraLog(1):,7,-3.444795,-2.576000,-2.576000,-2.576000,-3.674105,1.805832,1.844981,5.843113,5.863271,12.852522,28753,1.981565
33752:ApriltagsCameraLog(1):,8,-3.444795,-2.944000,-2.944000,-2.944000,-3.528614,1.797225,1.818770,5.754977,5.850050,13.123434,28753,2.015429
33759:ApriltagsCameraLog(1):,15,-3.528614,-8.077000,-3.528614,-8.077000,-3.448555,1.870031,1.804126,5.901558,5.786732,38.583241,28750,2.786453
33797:ApriltagsCameraLog(1):,7,-3.448555,-2.522000,-2.522000,-2.522000,-3.676516,1.805553,1.845104,5.844851,5.864933,12.852522,28754,1.981565
33799:ApriltagsCameraLog(1):,8,-3.448555,-2.973000,-2.973000,-2.973000,-3.523429,1.797615,1.818620,5.754048,5.851776,13.123434,28754,2.015429
33807:ApriltagsCameraLog(1):,15,-3.523429,-8.094000,-3.523429,-8.094000,-3.450638,1.869904,1.804345,5.901307,5.786683,38.583241,28751,2.786453
33821:ApriltagsCameraLog(1):,7,-3.450638,-2.590000,-2.590000,-2.590000,-3.676722,1.805904,1.845087,5.842663,5.864747,12.852522,28755,1.981565
33823:ApriltagsCameraLog(1):,8,-3.450638,-2.932000,-2.932000,-2.932000,-3.532764,1.797063,1.818844,5.755361,5.850239,13.123434,28755,2.015429
33838:ApriltagsCameraLog(1):,15,-3.532764,-8.130000,-3.532764,-8.130000,-3.450569,1.867598,1.804036,5.901915,5.787054,38.621326,28752,2.788833
33872:ApriltagsCameraLog(1):,7,-3.450569,-2.541000,-2.541000,-2.541000,-3.680827,1.805651,1.843419,5.844240,5.865236,12.852522,28756,1.981565
33874:ApriltagsCameraLog(1):,8,-3.450569,-2.970000,-2.970000,-2.970000,-3.529718,1.797575,1.818120,5.754144,5.851456,13.123434,28756,2.015429
33876:ApriltagsCameraLog(1):,15,-3.529718,-8.135000,-3.529718,-8.135000,-3.455698,1.867523,1.804148,5.901768,5.786640,38.621326,28753,2.788833
33893:ApriltagsCameraLog(1):,7,-3.455698,-2.605000,-2.605000,-2.605000,-3.683338,1.805981,1.843398,5.842180,5.864995,12.852522,28757,1.981565
33895:ApriltagsCameraLog(1):,8,-3.455698,-2.956000,-2.956000,-2.956000,-3.540508,1.797386,1.818330,5.754593,5.849989,13.123434,28757,2.015429
33912:ApriltagsCameraLog(1):,15,-3.540508,-8.089000,-3.540508,-8.089000,-3.460463,1.867787,1.804086,5.902290,5.786454,38.621326,28754,2.788833
