133538:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
133603:ApriltagsCameraLog(1):,7,-1.201184,-0.131000,-0.131000,-0.131000,-1.035677,1.274807,1.267744,5.427388,5.377751,10.450682,77511,1.681335
133605:ApriltagsCameraLog(1):,8,-1.201184,-0.210000,-0.210000,-0.210000,-0.890355,1.261187,1.272672,5.348160,5.410811,9.824231,77511,1.603029
133611:ApriltagsCameraLog(1):,15,-0.890355,-6.181000,-0.890355,-6.181000,-0.775277,1.300586,1.264810,5.462861,5.369082,42.532370,77508,3.033273
133623:ApriltagsCameraLog(1):,7,-0.775277,-0.090000,-0.090000,-0.090000,-1.018054,1.274889,1.285828,5.425787,5.432635,10.456221,77512,1.682028
133626:ApriltagsCameraLog(1):,8,-0.775277,-0.221000,-0.221000,-0.221000,-0.869044,1.261258,1.278505,5.347911,5.428120,9.824231,77512,1.603029
133639:ApriltagsCameraLog(1):,15,-0.869044,-6.165000,-0.869044,-6.165000,-0.759431,1.300227,1.266755,5.461618,5.374702,42.532370,77509,3.033273
133684:ApriltagsCameraLog(1):,7,-0.759431,-0.073000,-0.073000,-0.073000,-0.999455,1.274925,1.286445,5.426177,5.433614,10.456221,77513,1.682028
133686:ApriltagsCameraLog(1):,8,-0.759431,-0.248000,-0.248000,-0.248000,-0.850260,1.261430,1.278732,5.347299,5.428708,9.824231,77513,1.603029
133705:ApriltagsCameraLog(1):,15,-0.850260,-6.246000,-0.850260,-6.246000,-0.747927,1.297372,1.266959,5.460560,5.374486,42.572051,77510,3.035753
133713:ApriltagsCameraLog(1):,7,-0.747927,-0.140000,-0.140000,-0.140000,-0.994508,1.274788,1.284592,5.427182,5.432759,10.450682,77514,1.681335
133715:ApriltagsCameraLog(1):,8,-0.747927,-0.268000,-0.268000,-0.268000,-0.856804,1.261557,1.278033,5.346845,5.429082,9.824231,77514,1.603029
133719:ApriltagsCameraLog(1):,15,-0.856804,-6.218000,-0.856804,-6.218000,-0.759493,1.300021,1.266814,5.460904,5.374305,42.532370,77511,3.033273
133728:ApriltagsCameraLog(1):,7,-0.759493,-0.140000,-0.140000,-0.140000,-1.004641,1.274782,1.286311,5.424642,5.433007,10.456221,77516,1.682028
133730:ApriltagsCameraLog(1):,8,-0.759493,-0.238000,-0.238000,-0.238000,-0.865812,1.261366,1.278590,5.347525,5.427479,9.824231,77516,1.603029
133735:ApriltagsCameraLog(1):,15,-0.865812,-6.223000,-0.865812,-6.223000,-0.759622,1.300173,1.266865,5.461429,5.374229,42.532370,77513,3.033273
133743:ApriltagsCameraLog(1):,7,-0.759622,-0.102000,-0.102000,-0.102000,-1.004988,1.274864,1.286408,5.425512,5.433336,10.456221,77518,1.682028
133746:ApriltagsCameraLog(1):,8,-0.759622,-0.236000,-0.236000,-0.236000,-0.860002,1.261353,1.278677,5.347571,5.428171,9.824231,77518,1.603029
133752:ApriltagsCameraLog(1):,15,-0.860002,-6.226000,-0.860002,-6.226000,-0.754456,1.300075,1.266885,5.461091,5.374490,42.532370,77515,3.033273
133762:ApriltagsCameraLog(1):,7,-0.754456,-0.129000,-0.129000,-0.129000,-1.000189,1.274806,1.286364,5.424894,5.433195,10.456221,77519,1.682028
133764:ApriltagsCameraLog(1):,8,-0.754456,-0.247000,-0.247000,-0.247000,-0.860309,1.261423,1.278623,5.347321,5.427710,9.824231,77519,1.603029
133774:ApriltagsCameraLog(1):,15,-0.860309,-6.190000,-0.860309,-6.190000,-0.756571,1.300080,1.266918,5.461108,5.374169,42.532370,77516,3.033273
133784:ApriltagsCameraLog(1):,7,-0.756571,-0.123000,-0.123000,-0.123000,-1.000593,1.274819,1.286387,5.425031,5.433092,10.456221,77520,1.682028
133791:ApriltagsCameraLog(1):,8,-0.756571,-0.208000,-0.208000,-0.208000,-0.859685,1.261175,1.278640,5.348206,5.427768,9.824231,77520,1.603029
133794:ApriltagsCameraLog(1):,15,-0.859685,-6.207000,-0.859685,-6.207000,-0.749456,1.300070,1.266746,5.461072,5.374782,42.532370,77517,3.033273
133801:ApriltagsCameraLog(1):,7,-0.749456,-0.107000,-0.107000,-0.107000,-0.994561,1.274853,1.286330,5.425398,5.433281,10.456221,77521,1.682028
133804:ApriltagsCameraLog(1):,8,-0.749456,-0.229000,-0.229000,-0.229000,-0.852052,1.261309,1.278645,5.347730,5.428076,9.824231,77521,1.603029
133808:ApriltagsCameraLog(1):,15,-0.852052,-6.192000,-0.852052,-6.192000,-0.746666,1.299942,1.266845,5.460627,5.374564,42.532370,77519,3.033273
133816:ApriltagsCameraLog(1):,7,-0.746666,-0.112000,-0.112000,-0.112000,-0.991222,1.274842,1.286291,5.425283,5.432903,10.456221,77523,1.682028
133820:ApriltagsCameraLog(1):,8,-0.746666,-0.254000,-0.254000,-0.254000,-0.850052,1.261468,1.278626,5.347163,5.427873,9.824231,77523,1.603029
133822:ApriltagsCameraLog(1):,15,-0.850052,-6.098000,-0.850052,-6.098000,-0.749234,1.302448,1.266955,5.460473,5.374116,42.492691,77520,3.030793
133838:ApriltagsCameraLog(1):,7,-0.749234,-0.114000,-0.114000,-0.114000,-0.989667,1.274838,1.288035,5.425238,5.432705,10.456221,77526,1.682028
133841:ApriltagsCameraLog(1):,8,-0.749234,-0.287000,-0.287000,-0.287000,-0.849068,1.261677,1.279205,5.346414,5.427783,9.824231,77526,1.603029
133844:ApriltagsCameraLog(1):,15,-0.749234,-6.219000,-0.749234,-6.219000,-0.753997,1.298220,1.267299,5.454629,5.373585,42.532370,77521,3.033273
133851:ApriltagsCameraLog(1):,15,-0.753997,-6.223000,-0.753997,-6.223000,-1.224522,1.298300,1.294184,5.454907,5.447608,42.532370,77523,3.033273
133857:ApriltagsCameraLog(1):,7,-1.224522,-0.126000,-0.126000,-0.126000,-1.449010,1.274812,1.296724,5.424963,5.452586,10.456221,77528,1.682028
133860:ApriltagsCameraLog(1):,8,-1.224522,-0.233000,-0.233000,-0.233000,-1.236584,1.261334,1.281938,5.347639,5.434312,9.824231,77528,1.603029
133862:ApriltagsCameraLog(1):,15,-1.236584,-6.166000,-1.236584,-6.166000,-1.066834,1.306475,1.267782,5.483030,5.376631,42.532370,77525,3.033273
133874:ApriltagsCameraLog(1):,7,-1.066834,-0.125000,-0.125000,-0.125000,-1.293097,1.274814,1.290548,5.424985,5.448620,10.456221,77529,1.682028
133877:ApriltagsCameraLog(1):,8,-1.066834,-0.274000,-0.274000,-0.274000,-1.105103,1.261595,1.279924,5.346709,5.432954,9.824231,77529,1.603029
133879:ApriltagsCameraLog(1):,15,-1.105103,-6.151000,-1.105103,-6.151000,-0.964062,1.306764,1.267357,5.475326,5.375532,42.492691,77526,3.030793
133888:ApriltagsCameraLog(1):,7,-0.964062,-0.137000,-0.137000,-0.137000,-1.199845,1.274789,1.290738,5.424710,5.443157,10.456221,77530,1.682028
133892:ApriltagsCameraLog(1):,8,-0.964062,-0.222000,-0.222000,-0.222000,-1.029192,1.261264,1.280009,5.347888,5.430942,9.824231,77530,1.603029
133902:ApriltagsCameraLog(1):,15,-1.029192,-6.217000,-1.029192,-6.217000,-0.892660,1.302933,1.267189,5.470953,5.375647,42.532370,77527,3.033273
133909:ApriltagsCameraLog(1):,7,-0.892660,-0.122000,-0.122000,-0.122000,-1.131782,1.274821,1.288183,5.425054,5.440202,10.456221,77531,1.682028
133912:ApriltagsCameraLog(1):,8,-0.892660,-0.275000,-0.275000,-0.275000,-0.969649,1.261601,1.279200,5.346686,5.430169,9.824231,77531,1.603029
133916:ApriltagsCameraLog(1):,15,-0.969649,-6.154000,-0.969649,-6.154000,-0.852153,1.301924,1.267187,5.467483,5.374573,42.532370,77529,3.033273
133921:ApriltagsCameraLog(1):,7,-0.852153,-0.121000,-0.121000,-0.121000,-1.090265,1.274823,1.287593,5.425077,5.437498,10.456221,77534,1.682028
133924:ApriltagsCameraLog(1):,8,-0.852153,-0.271000,-0.271000,-0.271000,-0.934638,1.261576,1.279021,5.346777,5.429278,9.824231,77534,1.603029
133927:ApriltagsCameraLog(1):,15,-0.852153,-6.175000,-0.852153,-6.175000,-0.822387,1.299943,1.267126,5.460633,5.374334,42.532370,77530,3.033273
133935:ApriltagsCameraLog(1):,7,-0.822387,-0.077000,-0.077000,-0.077000,-1.315880,1.274917,1.295168,5.426085,5.453261,10.456221,77535,1.682028
133938:ApriltagsCameraLog(1):,8,-0.822387,-0.261000,-0.261000,-0.261000,-1.116522,1.261512,1.281503,5.347004,5.435267,9.824231,77535,1.603029
133941:ApriltagsCameraLog(1):,15,-1.116522,-6.230000,-1.116522,-6.230000,-0.971351,1.304419,1.267810,5.476040,5.376508,42.532370,77532,3.033273
133948:ApriltagsCameraLog(1):,7,-0.971351,-0.121000,-0.121000,-0.121000,-1.207399,1.274823,1.289294,5.425077,5.443892,10.456221,77536,1.682028
133960:ApriltagsCameraLog(1):,8,-0.971351,-0.264000,-0.264000,-0.264000,-1.032523,1.261531,1.279547,5.346936,5.431426,9.824231,77536,1.603029
133963:ApriltagsCameraLog(1):,15,-1.032523,-6.226000,-1.032523,-6.226000,-0.902068,1.302989,1.267222,5.471147,5.375167,42.532370,77533,3.033273
