339538:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
339576:ApriltagsCameraLog(1):,,,,,,14.255109,,5.761605,,5.898183,,,
339595:ApriltagsCameraLog(1):,,,,,,14.502301,,5.677990,,5.941617,,,
339615:ApriltagsCameraLog(1):,,,,,,14.785199,,5.599590,,5.981986,,,
339635:ApriltagsCameraLog(1):,,,,,,15.092816,,5.521511,,6.021657,,,
339655:ApriltagsCameraLog(1):,,,,,,15.551496,,5.445990,,6.065400,,,
339675:ApriltagsCameraLog(1):,,,,,,16.067853,,5.370211,,6.115471,,,
339715:ApriltagsCameraLog(1):,,,,,,16.990705,,5.222146,,6.210510,,,
339755:ApriltagsCameraLog(1):,,,,,,17.729535,,5.080286,,6.313028,,,
339775:ApriltagsCameraLog(1):,,,,,,18.168988,,5.009122,,6.368679,,,
339795:ApriltagsCameraLog(1):,,,,,,18.564496,,4.938771,,6.422915,,,
339815:ApriltagsCameraLog(1):,,,,,,18.918805,,4.870450,,6.474830,,,
339835:ApriltagsCameraLog(1):,,,,,,19.146772,,4.798726,,6.528758,,,
339855:ApriltagsCameraLog(1):,,,,,,19.317060,,4.725875,,6.583719,,,
339875:ApriltagsCameraLog(1):,,,,,,19.457135,,4.655067,,6.634739,,,
339915:ApriltagsCameraLog(1):,,,,,,19.902082,,4.509589,,6.738645,,,
339936:ApriltagsCameraLog(1):,,,,,,20.198712,,4.434217,,6.785797,,,
339975:ApriltagsCameraLog(1):,,,,,,20.363507,,4.280633,,6.872625,,,
339995:ApriltagsCameraLog(1):,,,,,,20.473371,,4.204400,,6.911486,,,
340015:ApriltagsCameraLog(1):,,,,,,20.564008,,4.126437,,6.950925,,,
340035:ApriltagsCameraLog(1):,8,20.363507,23.441000,20.363507,23.441000,20.517316,3.975748,4.051071,4.884203,6.988845,64.045263,74790,4.377829
340055:ApriltagsCameraLog(1):,,,,,,20.217200,,3.919648,,6.685378,,,
340075:ApriltagsCameraLog(1):,8,20.517316,28.895000,20.517316,28.895000,20.055152,3.796780,3.845077,4.960800,6.704668,61.143369,74791,4.196461
340095:ApriltagsCameraLog(1):,,,,,,19.662268,,3.707903,,6.451421,,,
340135:ApriltagsCameraLog(1):,8,20.055152,21.398000,20.055152,21.398000,18.624060,3.741489,3.569659,4.999023,6.482066,30.116870,74792,4.139609
340175:ApriltagsCameraLog(1):,,,,,,17.910611,,3.405354,,6.271380,,,
340195:ApriltagsCameraLog(1):,8,18.624060,20.468000,20.468000,20.468000,17.564541,3.469506,3.335562,5.187803,6.279932,27.953453,74794,3.869182
340215:ApriltagsCameraLog(1):,,,,,,17.289655,,3.240079,,6.114498,,,
340235:ApriltagsCameraLog(1):,8,17.564541,20.517000,17.564541,20.517000,17.064436,3.236006,3.171879,5.168544,6.123602,52.074657,74796,3.629666
340255:ApriltagsCameraLog(1):,,,,,,17.031135,,3.077091,,5.975271,,,
340275:ApriltagsCameraLog(1):,8,17.064436,18.155000,18.155000,18.155000,16.935004,3.130644,3.006804,5.272660,5.978966,25.235113,74797,3.529389
340315:ApriltagsCameraLog(1):,7,16.935004,22.542000,16.935004,22.542000,16.833753,3.096436,2.849016,5.298862,5.872472,50.111920,74798,3.506995
340317:ApriltagsCameraLog(1):,8,16.935004,19.483000,16.935004,19.483000,16.844674,3.025058,2.843435,5.229729,5.780106,48.708234,74798,3.419265
340355:ApriltagsCameraLog(1):,,,,,,16.319528,,2.688729,,5.694191,,,
340376:ApriltagsCameraLog(1):,7,16.844674,16.912000,16.912000,16.912000,15.643869,2.909346,2.620537,5.336322,5.696608,23.536358,74799,3.317045
340378:ApriltagsCameraLog(1):,8,16.844674,18.594000,18.594000,18.594000,15.643714,2.879199,2.611726,5.344432,5.638661,23.272897,74799,3.284112
340396:ApriltagsCameraLog(1):,,,,,,15.381588,,2.534115,,5.594611,,,
340416:ApriltagsCameraLog(1):,7,15.643714,17.088000,17.088000,17.088000,14.796566,2.688326,2.474417,5.383529,5.597754,21.742455,74801,3.092807
340418:ApriltagsCameraLog(1):,8,15.643714,18.150000,15.643714,18.150000,14.799679,2.674011,2.474886,5.235082,5.563493,43.051645,74801,3.065728
340435:ApriltagsCameraLog(1):,,,,,,13.935789,,2.418357,,5.513729,,,
