147791:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust
149527:ApriltagsCameraLog(1):,7,174.451147,174.267000,174.267000,174.267000,174.332601,1.806651,1.807905,1.462232,1.463277,11.758594
149567:ApriltagsCameraLog(1):,7,174.332601,173.943000,173.943000,173.943000,174.148095,1.804457,1.807279,1.454594,1.462753,11.740622
149587:ApriltagsCameraLog(1):,7,174.148095,174.351000,174.351000,174.351000,174.030420,1.802069,1.805879,1.470492,1.458670,11.722684
149627:ApriltagsCameraLog(1):,7,174.030420,174.698000,174.698000,174.698000,173.857915,1.802355,1.803985,1.486694,1.464584,11.727283
149667:ApriltagsCameraLog(1):,7,173.857915,173.910000,173.910000,173.910000,173.742882,1.800488,1.803232,1.464174,1.475644,11.709441
149707:ApriltagsCameraLog(1):,7,173.742882,173.505000,173.505000,173.505000,173.524229,1.798336,1.801859,1.453989,1.469909,11.691633
149727:ApriltagsCameraLog(1):,7,173.524229,173.822000,173.822000,173.822000,173.374671,1.799082,1.800113,1.471725,1.461945,11.698924
149767:ApriltagsCameraLog(1):,7,173.374671,173.908000,173.908000,173.908000,173.205407,1.797055,1.799608,1.479803,1.466836,11.683762
149807:ApriltagsCameraLog(1):,7,173.205407,173.854000,173.854000,173.854000,173.077988,1.797358,1.798360,1.480599,1.473325,11.686306
149827:ApriltagsCameraLog(1):,7,173.077988,172.833000,172.833000,172.833000,173.095127,1.795484,1.797876,1.450725,1.476964,11.668724
149867:ApriltagsCameraLog(1):,7,173.095127,172.982000,172.982000,172.982000,173.009581,1.790423,1.796714,1.456114,1.463841,11.628416
149907:ApriltagsCameraLog(1):,7,173.009581,172.483000,172.483000,172.483000,173.003438,1.790444,1.793571,1.440188,1.459976,11.628416
149927:ApriltagsCameraLog(1):,7,173.003438,173.298000,173.298000,173.298000,173.022068,1.787222,1.792049,1.461449,1.450075,11.603118
149967:ApriltagsCameraLog(1):,7,173.022068,172.935000,172.935000,172.935000,173.229437,1.786348,1.789651,1.442322,1.455769,11.595609
150007:ApriltagsCameraLog(1):,7,173.229437,173.837000,173.837000,173.837000,173.468962,1.782833,1.788007,1.463740,1.449044,11.568171
150027:ApriltagsCameraLog(1):,7,173.468962,174.081000,174.081000,174.081000,173.678574,1.778904,1.785457,1.459125,1.456405,11.536421
150067:ApriltagsCameraLog(1):,7,173.678574,173.612000,173.612000,173.612000,174.078463,1.775297,1.782187,1.434437,1.457781,11.507462
150107:ApriltagsCameraLog(1):,7,174.078463,175.070000,175.070000,175.070000,174.375754,1.773689,1.778757,1.465397,1.446105,11.495161
150127:ApriltagsCameraLog(1):,7,174.375754,175.855000,175.855000,175.855000,174.577565,1.769799,1.776302,1.477734,1.455771,11.465449
150167:ApriltagsCameraLog(1):,7,174.577565,175.242000,175.242000,175.242000,174.875085,1.766874,1.773180,1.451007,1.466791,11.439851
150207:ApriltagsCameraLog(1):,7,174.875085,175.784000,175.784000,175.784000,175.007040,1.763837,1.769994,1.463202,1.458912,11.416169
150227:ApriltagsCameraLog(1):,7,175.007040,175.719000,175.719000,175.719000,175.117509,1.760754,1.766930,1.453748,1.461079,11.390971
150267:ApriltagsCameraLog(1):,7,175.117509,175.204000,175.204000,175.204000,175.191459,1.757797,1.763822,1.432730,1.457430,11.367554
150307:ApriltagsCameraLog(1):,7,175.191459,175.204000,175.204000,175.204000,175.143686,1.752735,1.760807,1.433154,1.445081,11.327033
150327:ApriltagsCameraLog(1):,7,175.143686,175.522000,175.522000,175.522000,175.094523,1.750047,1.756770,1.440760,1.439118,11.305229
150367:ApriltagsCameraLog(1):,7,175.094523,175.346000,175.346000,175.346000,175.024102,1.750023,1.753411,1.435267,1.439949,11.305229
150407:ApriltagsCameraLog(1):,7,175.024102,174.939000,174.939000,174.939000,174.953150,1.744843,1.751712,1.423014,1.437611,11.264705
150427:ApriltagsCameraLog(1):,7,174.953150,175.356000,175.356000,175.356000,174.894251,1.739898,1.748284,1.436402,1.430309,11.224181
150467:ApriltagsCameraLog(1):,7,174.894251,175.114000,175.114000,175.114000,174.846093,1.734565,1.744101,1.426794,1.433369,11.182130
150507:ApriltagsCameraLog(1):,7,174.846093,174.976000,174.976000,174.976000,174.842339,1.731984,1.739327,1.422747,1.430089,11.161866
150527:ApriltagsCameraLog(1):,7,174.842339,174.786000,174.786000,174.786000,174.851438,1.728906,1.735652,1.412049,1.426421,11.138624
150567:ApriltagsCameraLog(1):,7,174.851438,174.932000,174.932000,174.932000,174.856047,1.726457,1.732283,1.416776,1.419234,11.118357
150587:ApriltagsCameraLog(1):,7,174.856047,175.497000,175.497000,175.497000,174.893140,1.720994,1.729369,1.426980,1.418007,11.073555
150627:ApriltagsCameraLog(1):,7,174.893140,175.315000,175.315000,175.315000,175.025723,1.717979,1.725204,1.416537,1.422515,11.050578
150667:ApriltagsCameraLog(1):,7,175.025723,175.026000,175.026000,175.026000,175.044085,1.715059,1.721584,1.405370,1.419536,11.028992
150711:ApriltagsCameraLog(1):,7,175.044085,175.007000,175.007000,175.007000,175.061750,1.712073,1.718323,1.399949,1.412452,11.006178
150727:ApriltagsCameraLog(1):,7,175.061750,175.071000,175.071000,175.071000,175.058772,1.706625,1.715199,1.397279,1.406200,10.963189
150767:ApriltagsCameraLog(1):,7,175.058772,175.297000,175.297000,175.297000,175.030547,1.704271,1.710911,1.404370,1.401740,10.942904
150807:ApriltagsCameraLog(1):,7,175.030547,175.024000,175.024000,175.024000,175.050848,1.698553,1.707594,1.391448,1.403061,10.900016
150827:ApriltagsCameraLog(1):,7,175.050848,174.881000,174.881000,174.881000,175.038592,1.695655,1.703075,1.384810,1.397254,10.878612
150867:ApriltagsCameraLog(1):,7,175.038592,175.243000,175.243000,175.243000,174.944483,1.696006,1.699373,1.395766,1.391027,10.878612
150907:ApriltagsCameraLog(1):,7,174.944483,175.518000,175.518000,175.518000,174.883384,1.693694,1.697694,1.404288,1.393399,10.858322
150947:ApriltagsCameraLog(1):,7,174.883384,175.310000,175.310000,175.310000,174.769732,1.690792,1.695718,1.395677,1.398852,10.836943
150967:ApriltagsCameraLog(1):,7,174.769732,175.137000,175.137000,175.137000,174.639830,1.688318,1.693250,1.393203,1.397272,10.817742
151007:ApriltagsCameraLog(1):,7,174.639830,174.843000,174.843000,174.843000,174.413284,1.688254,1.690780,1.386875,1.395243,10.818862
151047:ApriltagsCameraLog(1):,7,174.413284,175.333000,175.333000,175.333000,174.167136,1.686369,1.689511,1.404379,1.391061,10.799726
151067:ApriltagsCameraLog(1):,7,174.167136,175.152000,175.152000,175.152000,174.128567,1.684128,1.687985,1.404208,1.397731,10.781837
151107:ApriltagsCameraLog(1):,7,174.128567,175.028000,175.028000,175.028000,174.037820,1.684254,1.686078,1.403012,1.400982,10.783080
151147:ApriltagsCameraLog(1):,7,174.037820,174.346000,174.346000,174.346000,173.967342,1.683624,1.685173,1.382514,1.402003,10.783080
151167:ApriltagsCameraLog(1):,7,173.967342,174.701000,174.701000,174.701000,173.904541,1.678690,1.684382,1.391123,1.392260,10.741271
151207:ApriltagsCameraLog(1):,7,173.904541,174.439000,174.439000,174.439000,173.870452,1.678422,1.681533,1.383273,1.391706,10.741271
151227:ApriltagsCameraLog(1):,7,173.870452,174.639000,174.639000,174.639000,173.880528,1.678392,1.679962,1.386736,1.387495,10.740054
