95284:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust
95323:ApriltagsCameraLog(1):,7,153.335349,153.235000,153.235000,153.235000,153.357558,1.496246,1.497185,5.138120,5.140895,9.704918
95337:ApriltagsCameraLog(1):,7,153.357558,153.192000,153.192000,153.192000,153.347464,1.495938,1.496716,5.136968,5.139507,9.704918
95345:ApriltagsCameraLog(1):,7,153.347464,153.203000,153.203000,153.203000,153.334123,1.496017,1.496329,5.137263,5.138237,9.704918
95351:ApriltagsCameraLog(1):,7,153.334123,153.295000,153.295000,153.295000,153.322971,1.496674,1.496173,5.139727,5.137750,9.704918
95364:ApriltagsCameraLog(1):,7,153.322971,152.949000,152.949000,152.949000,153.321280,1.491919,1.496424,5.131621,5.138738,9.685029
95371:ApriltagsCameraLog(1):,7,153.321280,152.932000,152.932000,152.932000,153.287277,1.491796,1.494182,5.131167,5.135173,9.685029
95375:ApriltagsCameraLog(1):,7,153.287277,153.183000,153.183000,153.183000,153.254780,1.495873,1.492994,5.136727,5.133167,9.704918
95380:ApriltagsCameraLog(1):,7,153.254780,153.389000,153.389000,153.389000,153.248738,1.497342,1.494433,5.142245,5.134948,9.704918
95386:ApriltagsCameraLog(1):,7,153.248738,153.315000,153.315000,153.315000,153.262333,1.496817,1.495891,5.140263,5.138595,9.704918
95389:ApriltagsCameraLog(1):,7,153.262333,153.336000,153.336000,153.336000,153.267657,1.496966,1.496354,5.140825,5.139429,9.704918
95395:ApriltagsCameraLog(1):,7,153.267657,153.579000,153.579000,153.579000,153.274360,1.500953,1.496660,5.146209,5.140127,9.724808
95417:ApriltagsCameraLog(1):,7,153.274360,153.502000,153.502000,153.502000,153.302998,1.500412,1.498814,5.144141,5.143163,9.724808
95425:ApriltagsCameraLog(1):,7,153.302998,153.629000,153.629000,153.629000,153.321698,1.501303,1.499614,5.147552,5.143651,9.724808
95434:ApriltagsCameraLog(1):,7,153.321698,153.368000,153.368000,153.368000,153.350411,1.497193,1.500463,5.141683,5.145599,9.704918
95441:ApriltagsCameraLog(1):,7,153.350411,153.436000,153.436000,153.436000,153.352054,1.497674,1.498828,5.143505,5.143641,9.704918
95445:ApriltagsCameraLog(1):,7,153.352054,153.339000,153.339000,153.339000,153.359896,1.496987,1.498251,5.140906,5.143573,9.704918
95454:ApriltagsCameraLog(1):,7,153.359896,153.170000,153.170000,153.170000,153.357944,1.495780,1.497619,5.136379,5.142239,9.704918
