179108:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
179119:ApriltagsCameraLog(1):,7,28.434139,28.104000,28.434139,28.104000,28.341321,2.300356,2.600041,5.955474,6.032238,18.991471,11910,2.673066
179120:ApriltagsCameraLog(1):,8,28.434139,28.535000,28.434139,28.535000,28.335755,2.304723,2.592507,5.953048,6.017356,19.628317,11910,2.804040
179138:ApriltagsCameraLog(1):,,,,,,28.345758,,2.641976,,5.975854,,,
179158:ApriltagsCameraLog(1):,7,28.335755,28.633000,28.335755,28.633000,28.169976,2.389495,2.702017,5.921235,5.945372,19.625647,11912,2.757391
179160:ApriltagsCameraLog(1):,8,28.335755,30.049000,28.335755,30.049000,28.172287,2.367824,2.693459,5.910010,5.934291,23.196007,11912,2.850404
179178:ApriltagsCameraLog(1):,,,,,,27.994069,,2.745774,,5.893877,,,
179198:ApriltagsCameraLog(1):,8,28.172287,29.435000,28.172287,29.435000,27.749623,2.439385,2.806705,5.876667,5.859125,22.829169,11914,2.908711
179220:ApriltagsCameraLog(1):,8,27.749623,29.781000,27.749623,29.781000,27.566765,2.563020,2.855243,5.799435,5.817585,25.327641,11917,3.006415
179239:ApriltagsCameraLog(1):,,,,,,27.347615,,2.905122,,5.776180,,,
179258:ApriltagsCameraLog(1):,8,27.566765,28.819000,27.566765,28.819000,27.067464,2.604586,2.968255,5.771361,5.739195,23.985644,11918,3.039542
179278:ApriltagsCameraLog(1):,8,27.067464,28.743000,27.067464,28.743000,26.845625,2.661466,3.016670,5.733974,5.696977,25.314688,11919,3.085228
179298:ApriltagsCameraLog(1):,,,,,,26.687427,,3.066298,,5.654986,,,
179318:ApriltagsCameraLog(1):,8,26.845625,28.417000,26.845625,28.417000,26.484180,2.711077,3.130717,5.693074,5.616025,25.453408,11920,3.124609
179338:ApriltagsCameraLog(1):,,,,,,26.339003,,3.182970,,5.572273,,,
179359:ApriltagsCameraLog(1):,8,26.484180,28.253000,26.484180,28.253000,26.204420,2.802907,3.248068,5.631293,5.532681,26.618513,11922,3.202228
179378:ApriltagsCameraLog(1):,8,26.204420,28.225000,26.204420,28.225000,26.058602,2.912579,3.301140,5.579257,5.488835,28.138700,11924,3.301096
179398:ApriltagsCameraLog(1):,8,26.058602,27.950000,26.058602,27.950000,25.972308,3.003289,3.355048,5.510751,5.446763,28.594053,11926,3.380750
179418:ApriltagsCameraLog(1):,,,,,,25.921328,,3.408278,,5.404909,,,
179438:ApriltagsCameraLog(1):,8,25.972308,27.212000,25.972308,27.212000,25.849917,3.121823,3.476850,5.467464,5.362890,28.035371,11928,3.492898
