507591:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
507605:ApriltagsCameraLog(1):,13,-3.736826,-0.580000,-3.736826,-3.736826,-3.773945,4.826840,4.750098,5.207427,4.497311,62.482607,61709,6.311330
507624:ApriltagsCameraLog(1):,7,-3.773945,-4.025000,-3.773945,-4.025000,-3.826446,4.532862,4.834052,4.571151,4.488830,37.491905,61717,4.946713
507626:ApriltagsCameraLog(1):,13,-3.773945,10.063000,-3.773945,-3.773945,-3.827905,5.005191,4.824991,5.126031,4.490760,109.641403,61711,6.124552
507644:ApriltagsCameraLog(1):,13,-3.827905,-0.159000,-3.827905,-3.827905,-3.862234,5.031498,4.915562,5.130188,4.470649,62.594687,61712,6.099186
507664:ApriltagsCameraLog(1):,7,-3.862234,-1.985000,-3.862234,-3.862234,-3.914618,4.582860,5.001152,4.535173,4.458417,43.981542,61718,5.003765
507665:ApriltagsCameraLog(1):,8,-3.862234,-1.324000,-3.862234,-1.324000,-3.914909,4.575738,4.991791,4.543305,4.459074,45.249247,61718,4.886126
507684:ApriltagsCameraLog(1):,7,-3.914909,-0.611000,-3.914909,-3.914909,-3.978178,4.711164,5.059290,4.522081,4.429296,50.620736,61719,5.131190
507704:ApriltagsCameraLog(1):,,,,,,-4.014209,,5.129940,,4.399535,,,
507744:ApriltagsCameraLog(1):,7,-3.978178,-1.533000,-3.978178,-3.978178,-4.088367,4.737263,5.283586,4.469113,4.337151,47.734341,61720,5.169461
507745:ApriltagsCameraLog(1):,8,-3.978178,-1.624000,-3.978178,-3.978178,-4.088773,4.698714,5.275609,4.484617,4.337219,45.866109,61720,5.015749
507747:ApriltagsCameraLog(1):,13,-4.088773,4.510000,-4.088773,-4.088773,-4.089194,5.268584,5.265967,5.024607,4.337639,81.508118,61716,5.853057
507764:ApriltagsCameraLog(1):,7,-4.089194,-2.910000,-4.089194,-4.089194,-4.108683,4.919929,5.347963,4.408456,4.318863,44.593594,61723,5.361227
507766:ApriltagsCameraLog(1):,8,-4.089194,-3.113000,-4.089194,-4.089194,-4.108926,4.912545,5.337848,4.416793,4.319337,42.692163,61723,5.236904
507784:ApriltagsCameraLog(1):,7,-4.108926,-2.247000,-4.108926,-4.108926,-4.144883,4.971101,5.404855,4.380126,4.286932,47.854791,61724,5.417899
507786:ApriltagsCameraLog(1):,8,-4.108926,-7.286000,-4.108926,-4.108926,-4.145010,4.996486,5.394830,4.381032,4.287815,52.184213,61724,5.325284
507787:ApriltagsCameraLog(1):,13,-4.145010,-0.346000,-4.145010,-4.145010,-4.145126,5.463566,5.386797,4.932344,4.288454,58.233645,61719,5.650165
507804:ApriltagsCameraLog(1):,7,-4.145126,-4.991000,-4.145126,-4.145126,-4.167283,5.052678,5.470795,4.353169,4.274492,44.499032,61725,5.503567
507806:ApriltagsCameraLog(1):,13,-4.167283,0.913000,-4.167283,-4.167283,-4.167489,5.524821,5.461534,4.897034,4.274447,62.867720,61720,5.586086
