21739:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
21827:ApriltagsCameraLog(1):,7,-6.578095,-6.066000,-6.578095,-6.066000,-6.610910,1.721329,1.886057,5.328994,5.528528,13.894043,168675,2.027150
21860:ApriltagsCameraLog(1):,8,-6.578095,-4.626000,-6.578095,-4.626000,-6.603178,1.733227,1.803226,5.332645,5.429147,15.439869,168675,1.989766
21867:ApriltagsCameraLog(1):,13,-6.603178,6.195000,-6.603178,-6.603178,-6.577894,2.242705,1.767408,5.607191,5.381497,156.209961,168666,8.939827
21877:ApriltagsCameraLog(1):,15,-6.603178,-11.422000,-6.603178,-11.422000,-6.577926,1.776481,2.005032,5.571493,5.494396,29.361585,168666,2.851714
21905:ApriltagsCameraLog(1):,7,-6.577926,-6.034000,-6.577926,-6.034000,-6.613446,1.721329,1.889205,5.328999,5.528124,13.936115,168682,2.027150
21909:ApriltagsCameraLog(1):,8,-6.577926,-4.616000,-6.577926,-4.616000,-6.605286,1.733226,1.804774,5.332650,5.428979,15.452569,168682,1.989766
21912:ApriltagsCameraLog(1):,13,-6.605286,5.443000,-6.605286,-6.605286,-6.579903,2.227622,1.768179,5.609274,5.381431,151.340574,168673,8.955064
21915:ApriltagsCameraLog(1):,15,-6.605286,-11.368000,-6.605286,-11.368000,-6.579941,1.776521,1.997873,5.571598,5.495409,29.250413,168673,2.851714
21934:ApriltagsCameraLog(1):,7,-6.579941,-6.060000,-6.579941,-6.060000,-6.612475,1.721322,1.885678,5.328937,5.528886,13.904413,168687,2.027150
21938:ApriltagsCameraLog(1):,8,-6.579941,-4.642000,-6.579941,-4.642000,-6.604680,1.733239,1.803028,5.332588,5.429301,15.421584,168687,1.989766
21942:ApriltagsCameraLog(1):,13,-6.579941,7.211000,-6.579941,-6.579941,-6.579588,2.226957,1.767320,5.605296,5.381538,163.302242,168674,8.955064
21945:ApriltagsCameraLog(1):,15,-6.579941,-11.357000,-6.579941,-11.357000,-6.612439,1.776046,2.056327,5.570331,5.567047,29.278838,168674,2.851714
21959:ApriltagsCameraLog(1):,13,-6.612439,6.163000,-6.612439,-6.612439,-6.644647,2.235379,1.916198,5.609519,5.562921,156.192972,168678,8.947446
21963:ApriltagsCameraLog(1):,15,-6.612439,-11.389000,-6.612439,-11.389000,-6.644609,1.776655,2.075794,5.571956,5.586179,29.277851,168678,2.851714
21975:ApriltagsCameraLog(1):,7,-6.644609,-6.070000,-6.644609,-6.070000,-6.676818,1.721073,1.926601,5.326951,5.572917,13.976670,168690,2.027150
21982:ApriltagsCameraLog(1):,8,-6.644609,-4.610000,-6.644609,-4.610000,-6.668296,1.733632,1.823199,5.330589,5.450469,15.546462,168690,1.989766
22012:ApriltagsCameraLog(1):,13,-6.668296,5.850000,-6.668296,-6.668296,-6.642188,2.236850,1.777359,5.618278,5.391328,154.429494,168681,8.947446
22017:ApriltagsCameraLog(1):,15,-6.668296,-11.411000,-6.668296,-11.411000,-6.642225,1.777703,2.007076,5.574748,5.504861,29.210768,168681,2.851714
22024:ApriltagsCameraLog(1):,7,-6.642225,-6.020000,-6.642225,-6.020000,-6.674672,1.721083,1.891009,5.327024,5.535041,14.039604,168692,2.027150
22027:ApriltagsCameraLog(1):,8,-6.642225,-4.705000,-6.642225,-4.705000,-6.665516,1.733618,1.805463,5.330662,5.431511,15.420659,168692,1.989766
22032:ApriltagsCameraLog(1):,13,-6.665516,5.587000,-6.665516,-6.665516,-6.640449,2.231731,1.768694,5.618431,5.381697,152.697206,168682,8.952525
22038:ApriltagsCameraLog(1):,15,-6.665516,-11.405000,-6.665516,-11.405000,-6.640486,1.777651,2.000183,5.574609,5.500120,29.204387,168682,2.851714
22062:ApriltagsCameraLog(1):,7,-6.640486,-6.049000,-6.640486,-6.049000,-6.675658,1.721089,1.887441,5.327078,5.532746,13.998976,168695,2.027150
22066:ApriltagsCameraLog(1):,8,-6.640486,-4.727000,-6.640486,-4.727000,-6.666908,1.733607,1.803716,5.330716,5.430357,15.389993,168695,1.989766
22069:ApriltagsCameraLog(1):,13,-6.666908,5.609000,-6.666908,-6.666908,-6.642092,2.229245,1.767835,5.618945,5.381125,152.902983,168686,8.955064
22073:ApriltagsCameraLog(1):,15,-6.666908,-11.426000,-6.666908,-11.426000,-6.642132,1.775449,1.998508,5.577496,5.500096,29.277545,168686,2.854619
22098:ApriltagsCameraLog(1):,7,-6.642132,-5.999000,-6.642132,-5.999000,-6.671880,1.721083,1.885436,5.327027,5.534144,14.067237,168699,2.027150
22101:ApriltagsCameraLog(1):,8,-6.642132,-4.768000,-6.642132,-4.768000,-6.662486,1.733617,1.802663,5.330665,5.431061,15.339155,168699,1.989766
22110:ApriltagsCameraLog(1):,13,-6.662486,6.064000,-6.662486,-6.662486,-6.638138,2.234173,1.767325,5.617661,5.381430,155.903429,168689,8.949985
22119:ApriltagsCameraLog(1):,15,-6.662486,-11.426000,-6.662486,-11.426000,-6.638173,1.777594,2.000721,5.574457,5.499601,29.251999,168689,2.851714
22142:ApriltagsCameraLog(1):,7,-6.638173,-5.989000,-6.638173,-5.989000,-6.673451,1.721098,1.887667,5.327149,5.532375,14.075222,168700,2.027150
22145:ApriltagsCameraLog(1):,8,-6.638173,-4.653000,-6.638173,-4.653000,-6.663939,1.733593,1.803784,5.330788,5.430250,15.482599,168700,1.989766
22150:ApriltagsCameraLog(1):,13,-6.663939,6.145000,-6.663939,-6.663939,-6.638363,2.234212,1.767833,5.617889,5.381130,156.469050,168691,8.949985
22153:ApriltagsCameraLog(1):,15,-6.663939,-11.429000,-6.663939,-11.429000,-6.638403,1.777621,2.000990,5.574530,5.499573,29.255066,168691,2.851714
22161:ApriltagsCameraLog(1):,7,-6.638403,-6.011000,-6.638403,-6.011000,-6.670968,1.721097,1.887812,5.327142,5.532387,14.046448,168702,2.027150
22164:ApriltagsCameraLog(1):,8,-6.638403,-4.603000,-6.638403,-4.603000,-6.661780,1.733595,1.803877,5.330780,5.430235,15.547487,168702,1.989766
22167:ApriltagsCameraLog(1):,13,-6.661780,5.767000,-6.661780,-6.661780,-6.635703,2.226586,1.767860,5.618435,5.381135,153.997871,168693,8.957604
22170:ApriltagsCameraLog(1):,15,-6.661780,-11.382000,-6.661780,-11.382000,-6.635744,1.777580,1.997190,5.574422,5.499848,29.166217,168693,2.851714
22183:ApriltagsCameraLog(1):,7,-6.635744,-6.055000,-6.635744,-6.055000,-6.668106,1.721108,1.885911,5.327223,5.532592,13.984778,168704,2.027150
22186:ApriltagsCameraLog(1):,8,-6.635744,-4.608000,-6.635744,-4.608000,-6.659539,1.733579,1.802973,5.330863,5.430339,15.537592,168704,1.989766
22191:ApriltagsCameraLog(1):,13,-6.659539,6.321000,-6.659539,-6.659539,-6.633537,2.229050,1.767403,5.617788,5.381218,157.739601,168695,8.955064
22194:ApriltagsCameraLog(1):,15,-6.659539,-11.383000,-6.659539,-11.383000,-6.633576,1.777538,1.998194,5.574310,5.499566,29.172640,168695,2.851714
22205:ApriltagsCameraLog(1):,7,-6.633576,-6.053000,-6.633576,-6.053000,-6.665953,1.721116,1.886388,5.327290,5.532370,13.984557,168706,2.027150
22209:ApriltagsCameraLog(1):,8,-6.633576,-4.603000,-6.633576,-4.603000,-6.657388,1.733565,1.803217,5.330930,5.430263,15.541252,168706,1.989766
22212:ApriltagsCameraLog(1):,13,-6.657388,6.057000,-6.657388,-6.657388,-6.631356,2.231516,1.767518,5.617156,5.381216,155.866581,168696,8.952525
22224:ApriltagsCameraLog(1):,15,-6.657388,-11.373000,-6.657388,-11.373000,-6.631396,1.777498,1.999485,5.574203,5.499250,29.157088,168696,2.851714
22235:ApriltagsCameraLog(1):,7,-6.631396,-6.098000,-6.631396,-6.098000,-6.663736,1.721124,1.887011,5.327357,5.532139,13.922197,168707,2.027150
22242:ApriltagsCameraLog(1):,8,-6.631396,-4.671000,-6.631396,-4.671000,-6.655802,1.733552,1.803575,5.330997,5.430148,15.450592,168707,1.989766
22245:ApriltagsCameraLog(1):,13,-6.655802,5.880000,-6.655802,-6.655802,-6.630508,2.223906,1.767722,5.617791,5.381174,154.778477,168698,8.960144
22249:ApriltagsCameraLog(1):,15,-6.655802,-11.386000,-6.655802,-11.386000,-6.630548,1.777468,1.995782,5.574123,5.499544,29.185988,168698,2.851714
22261:ApriltagsCameraLog(1):,7,-6.630548,-6.071000,-6.630548,-6.071000,-6.662951,1.721128,1.885148,5.327383,5.532308,13.956763,168709,2.027150
22266:ApriltagsCameraLog(1):,8,-6.630548,-4.613000,-6.630548,-4.613000,-6.654666,1.733547,1.802621,5.331023,5.430260,15.524422,168709,1.989766
22270:ApriltagsCameraLog(1):,13,-6.654666,6.080000,-6.654666,-6.654666,-6.628768,2.226398,1.767217,5.617318,5.381253,156.098107,168701,8.957604
22282:ApriltagsCameraLog(1):,15,-6.654666,-11.390000,-6.654666,-11.390000,-6.628806,1.777447,1.996777,5.574067,5.499346,29.196165,168701,2.851714
22304:ApriltagsCameraLog(1):,7,-6.628806,-6.133000,-6.628806,-6.133000,-6.661229,1.718611,1.885631,5.327730,5.532155,13.851323,168712,2.024626
22316:ApriltagsCameraLog(1):,8,-6.628806,-4.684000,-6.628806,-4.684000,-6.653766,1.733536,1.801660,5.331077,5.430320,15.430453,168712,1.989766
22322:ApriltagsCameraLog(1):,13,-6.653766,6.565000,-6.653766,-6.653766,-6.628612,2.236466,1.766761,5.616000,5.381280,159.233292,168705,8.947446
22326:ApriltagsCameraLog(1):,15,-6.653766,-11.433000,-6.653766,-11.433000,-6.628647,1.777430,2.001585,5.574022,5.498697,29.283146,168705,2.851714
22335:ApriltagsCameraLog(1):,7,-6.628647,-6.035000,-6.628647,-6.035000,-6.661256,1.721135,1.888003,5.327441,5.531668,14.001832,168716,2.027150
22341:ApriltagsCameraLog(1):,8,-6.628647,-4.758000,-6.628647,-4.758000,-6.652475,1.733535,1.804022,5.331082,5.430003,15.334653,168716,1.989766
22355:ApriltagsCameraLog(1):,13,-6.652475,6.362000,-6.652475,-6.652475,-6.628121,2.231386,1.767976,5.616386,5.381121,157.925788,168706,8.952525
22366:ApriltagsCameraLog(1):,15,-6.652475,-11.395000,-6.652475,-11.395000,-6.628155,1.777406,1.999653,5.573957,5.498808,29.210411,168706,2.851714
22375:ApriltagsCameraLog(1):,7,-6.628155,-6.056000,-6.628155,-6.056000,-6.660589,1.721137,1.887039,5.327456,5.531768,13.973426,168719,2.027150
22383:ApriltagsCameraLog(1):,8,-6.628155,-4.625000,-6.628155,-4.625000,-6.652097,1.733532,1.803560,5.331097,5.430042,15.505828,168719,1.989766
22387:ApriltagsCameraLog(1):,13,-6.652097,6.292000,-6.652097,-6.652097,-6.626319,2.238945,1.767687,5.615444,5.381186,157.303007,168710,8.944906
22391:ApriltagsCameraLog(1):,15,-6.652097,-11.434000,-6.652097,-11.434000,-6.626354,1.777399,2.003287,5.573938,5.498372,29.288435,168710,2.851714
22402:ApriltagsCameraLog(1):,7,-6.626354,-6.059000,-6.626354,-6.059000,-6.658976,1.721144,1.888833,5.327512,5.531425,13.967080,168721,2.027150
22407:ApriltagsCameraLog(1):,8,-6.626354,-4.794000,-6.626354,-4.794000,-6.650518,1.733522,1.804463,5.331153,5.429901,15.285186,168721,1.989766
22410:ApriltagsCameraLog(1):,13,-6.650518,5.934000,-6.650518,-6.650518,-6.626551,2.233858,1.768206,5.615784,5.381098,154.929528,168713,8.949985
22421:ApriltagsCameraLog(1):,15,-6.650518,-11.443000,-6.650518,-11.443000,-6.626585,1.777369,2.001005,5.573859,5.498495,29.309396,168713,2.851714
22431:ApriltagsCameraLog(1):,7,-6.626585,-6.037000,-6.626585,-6.037000,-6.659246,1.721143,1.887678,5.327505,5.531485,13.996463,168725,2.027150
22445:ApriltagsCameraLog(1):,8,-6.626585,-4.576000,-6.626585,-4.576000,-6.650492,1.733523,1.803866,5.331146,5.429941,15.567099,168725,1.989766
22453:ApriltagsCameraLog(1):,13,-6.650492,2.397000,-6.650492,-6.650492,-6.624190,2.168261,1.767815,5.623429,5.381177,131.671715,168719,9.016014
22462:ApriltagsCameraLog(1):,15,-6.650492,-11.431000,-6.650492,-11.431000,-6.624229,1.777368,1.968011,5.573858,5.502349,29.285670,168719,2.851714
