493643:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
493680:ApriltagsCameraLog(1):,6,82.600695,81.842000,82.600695,81.842000,82.600676,1.547004,1.570666,5.522310,5.458025,18.878623,217667,2.568415
493700:ApriltagsCameraLog(1):,9,82.600676,84.531000,82.600676,84.531000,82.592723,1.601059,1.568465,5.396412,5.463887,43.694718,217680,4.953115
493701:ApriltagsCameraLog(1):,10,82.600676,79.417000,82.600676,82.600676,82.601554,1.593526,1.569812,5.379558,5.460974,52.562276,217680,5.358651
493703:ApriltagsCameraLog(1):,6,82.601554,81.694000,82.601554,81.694000,82.601551,1.547044,1.570666,5.522306,5.458043,19.139832,217670,2.568415
493719:ApriltagsCameraLog(1):,9,82.601551,84.716000,82.601551,84.716000,82.592180,1.600663,1.568486,5.393913,5.463832,44.344837,217682,4.950614
493721:ApriltagsCameraLog(1):,10,82.601551,79.475000,82.601551,82.601551,82.601728,1.593447,1.569791,5.379560,5.460853,52.334523,217682,5.358651
493739:ApriltagsCameraLog(1):,6,82.601728,81.746000,82.601728,81.746000,82.601738,1.547052,1.570646,5.522305,5.457915,19.048890,217672,2.568415
493760:ApriltagsCameraLog(1):,9,82.601738,84.905000,82.601738,84.905000,82.592847,1.597802,1.568463,5.391725,5.463740,45.007002,217684,4.947670
493763:ApriltagsCameraLog(1):,10,82.601738,79.419000,82.601738,82.601738,82.603076,1.593431,1.569624,5.379561,5.460715,52.558535,217684,5.358651
493779:ApriltagsCameraLog(1):,6,82.603076,81.773000,82.603076,81.773000,82.600324,1.547115,1.570481,5.522298,5.457794,19.003877,217673,2.568415
493800:ApriltagsCameraLog(1):,9,82.600324,84.823000,82.600324,84.823000,82.591679,1.597913,1.568316,5.391694,5.463642,44.712207,217686,4.947670
493802:ApriltagsCameraLog(1):,10,82.600324,79.458000,82.600324,82.600324,82.601603,1.593557,1.569498,5.379557,5.460602,52.397408,217686,5.358651
493804:ApriltagsCameraLog(1):,6,82.601603,81.736000,82.601603,81.736000,82.601588,1.547046,1.570366,5.522306,5.457676,19.066219,217675,2.568415
493819:ApriltagsCameraLog(1):,9,82.601588,84.921000,82.601588,84.921000,82.592574,1.597814,1.568209,5.391722,5.463518,45.066080,217687,4.947670
493821:ApriltagsCameraLog(1):,10,82.601588,79.510000,82.601588,82.601588,82.602850,1.593444,1.569380,5.379560,5.460506,52.195128,217687,5.358651
493839:ApriltagsCameraLog(1):,6,82.602850,81.626000,82.602850,81.626000,82.602834,1.547105,1.570252,5.522299,5.457573,19.261426,217677,2.568415
493860:ApriltagsCameraLog(1):,9,82.602834,84.799000,82.602834,84.799000,82.592796,1.597716,1.568124,5.391749,5.463370,44.615229,217689,4.947670
493864:ApriltagsCameraLog(1):,10,82.602834,79.427000,82.602834,82.602834,82.602641,1.593333,1.569309,5.379563,5.460339,52.531011,217689,5.358651
493866:ApriltagsCameraLog(1):,6,82.602641,81.740000,82.602641,81.740000,82.602642,1.547095,1.570174,5.522300,5.457429,19.061022,217678,2.568415
493901:ApriltagsCameraLog(1):,9,82.602642,84.803000,82.602642,84.803000,82.593685,1.598058,1.568038,5.394263,5.463295,44.654975,217691,4.950171
493902:ApriltagsCameraLog(1):,10,82.602642,79.453000,82.602642,82.602642,82.603536,1.593023,1.569242,5.377044,5.460374,52.399912,217691,5.356116
493904:ApriltagsCameraLog(1):,6,82.603536,81.779000,82.603536,81.779000,82.603532,1.547137,1.570101,5.522296,5.457366,18.994156,217680,2.568415
493919:ApriltagsCameraLog(1):,9,82.603532,84.751000,82.603532,84.751000,82.594941,1.600507,1.567970,5.393956,5.463255,44.465702,217692,4.950614
493921:ApriltagsCameraLog(1):,10,82.603532,79.443000,82.603532,82.603532,82.604595,1.592943,1.569287,5.377046,5.460310,52.443308,217692,5.356116
493939:ApriltagsCameraLog(1):,6,82.604595,81.840000,82.604595,81.840000,82.604591,1.547186,1.570140,5.522290,5.457306,18.888976,217682,2.568415
493960:ApriltagsCameraLog(1):,9,82.604591,84.645000,82.604591,84.645000,82.596580,1.600423,1.568004,5.393979,5.463230,44.073815,217694,4.950614
493962:ApriltagsCameraLog(1):,10,82.604591,79.437000,82.604591,82.604591,82.605834,1.592848,1.569328,5.377048,5.460263,52.471436,217694,5.356116
493964:ApriltagsCameraLog(1):,6,82.605834,81.660000,82.605834,81.660000,82.605829,1.547244,1.570176,5.522284,5.457263,19.207001,217683,2.568415
493979:ApriltagsCameraLog(1):,9,82.605829,84.894000,82.605829,84.894000,82.596082,1.597480,1.568063,5.391814,5.463102,44.951797,217696,4.947670
493981:ApriltagsCameraLog(1):,10,82.605829,79.432000,82.605829,82.605829,82.606260,1.592737,1.569231,5.377051,5.460104,52.496293,217696,5.356116
493999:ApriltagsCameraLog(1):,6,82.606260,81.890000,82.606260,81.890000,82.609005,1.547264,1.570078,5.522282,5.457111,18.804162,217685,2.568415
494019:ApriltagsCameraLog(1):,9,82.609005,84.798000,82.609005,84.798000,82.601467,1.600076,1.567948,5.394075,5.463076,44.617712,217697,4.950614
