556:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
844:ApriltagsCameraLog(1):,7,-45.400000,-4.271000,-45.400000,-4.271000,-45.400000,2.536372,0.000000,3.071039,0.000000,51.159591,39137,3.572474
1080:ApriltagsCameraLog(1):,7,-45.400000,-4.221000,-45.400000,-4.221000,-44.611478,2.536372,1.757350,3.071039,1.025943,51.159591,39156,3.572474
1104:ApriltagsCameraLog(1):,7,-44.611478,-4.193000,-44.611478,-4.193000,-43.837114,2.570214,2.485300,3.106703,1.873430,51.159591,39159,3.572474
1122:ApriltagsCameraLog(1):,7,-43.837114,-4.284000,-43.837114,-4.284000,-43.077060,2.602967,2.735546,3.142177,2.452246,51.159591,39162,3.572474
1146:ApriltagsCameraLog(1):,7,-43.077060,-4.217000,-43.077060,-4.217000,-42.333322,2.634647,2.786291,3.177422,2.806707,51.159591,39165,3.572474
1168:ApriltagsCameraLog(1):,7,-42.333322,-4.024000,-42.333322,-4.024000,-41.602559,2.665191,2.773642,3.212315,3.010320,51.159591,39169,3.572474
1191:ApriltagsCameraLog(1):,7,-41.602559,-4.310000,-41.602559,-4.310000,-40.882105,2.694758,2.753772,3.246982,3.125330,51.159591,39171,3.572474
1213:ApriltagsCameraLog(1):,7,-40.882105,-4.209000,-40.882105,-4.209000,-40.180948,2.723473,2.744269,3.281527,3.193437,51.159591,39174,3.572474
1243:ApriltagsCameraLog(1):,7,-40.180948,-4.358000,-40.180948,-4.358000,-39.491296,2.751000,2.747766,3.315491,3.239311,51.159591,39176,3.572474
1269:ApriltagsCameraLog(1):,7,-39.491296,-4.347000,-39.491296,-4.347000,-38.817723,2.777668,2.760796,3.349223,3.275781,51.159591,39181,3.572474
1292:ApriltagsCameraLog(1):,7,-38.817723,-4.293000,-38.817723,-4.293000,-38.156853,2.803320,2.779831,3.382477,3.308960,51.159591,39185,3.572474
1310:ApriltagsCameraLog(1):,7,-38.156853,-4.162000,-38.156853,-4.162000,-37.507617,2.828107,2.801911,3.415394,3.341297,51.159591,39186,3.572474
1327:ApriltagsCameraLog(1):,7,-37.507617,-4.374000,-37.507617,-4.374000,-36.868317,2.852086,2.825238,3.448008,3.373613,51.159591,39187,3.572474
1348:ApriltagsCameraLog(1):,7,-36.868317,-4.326000,-36.868317,-4.326000,-36.245339,2.875335,2.848672,3.480386,3.406129,51.159591,39188,3.572474
1365:ApriltagsCameraLog(1):,7,-36.245339,-4.381000,-36.245339,-4.381000,-35.633383,2.897643,2.871825,3.512186,3.438703,51.159591,39189,3.572474
1387:ApriltagsCameraLog(1):,7,-35.633383,-4.396000,-35.633383,-4.396000,-35.034215,2.919217,2.894263,3.543657,3.471126,51.159591,39190,3.572474
1404:ApriltagsCameraLog(1):,7,-35.034215,-4.325000,-35.034215,-4.325000,-34.446821,2.940014,2.915973,3.574692,3.503299,51.159591,39191,3.572474
1422:ApriltagsCameraLog(1):,7,-34.446821,-4.345000,-34.446821,-4.345000,-33.869328,2.960086,2.936938,3.605327,3.535116,51.159591,39192,3.572474
1441:ApriltagsCameraLog(1):,7,-33.869328,-4.332000,-33.869328,-4.332000,-33.303289,2.979512,2.957145,3.635644,3.566559,51.159591,39193,3.572474
1465:ApriltagsCameraLog(1):,7,-33.303289,-4.333000,-33.303289,-4.333000,-32.747854,2.998256,2.976672,3.665549,3.597630,51.159591,39194,3.572474
1483:ApriltagsCameraLog(1):,7,-32.747854,-4.301000,-32.747854,-4.301000,-32.203086,3.016361,2.995517,3.695072,3.628304,51.159591,39195,3.572474
1500:ApriltagsCameraLog(1):,7,-32.203086,-4.207000,-32.203086,-4.207000,-31.668149,3.033839,3.013720,3.724197,3.658573,51.159591,39196,3.572474
