563:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
953:ApriltagsCameraLog(1):,7,-43.450000,-4.214000,-43.450000,-4.214000,-43.450000,2.619161,0.000000,3.160076,0.000000,51.159591,59835,3.572474
1011:ApriltagsCameraLog(1):,7,-43.450000,-3.987000,-43.450000,-3.987000,-43.287236,2.617317,1.797501,3.161822,1.071897,51.118965,59839,3.569935
1041:ApriltagsCameraLog(1):,7,-43.287236,-3.799000,-43.287236,-3.799000,-43.134052,2.625933,2.548485,3.167634,1.935953,51.159591,59840,3.572474
1072:ApriltagsCameraLog(1):,7,-43.134052,-4.155000,-43.134052,-4.155000,-42.980851,2.632287,2.796333,3.174765,2.514442,51.159591,59841,3.572474
1101:ApriltagsCameraLog(1):,7,-42.980851,-4.285000,-42.980851,-4.285000,-42.829630,2.638623,2.828905,3.181914,2.859706,51.159591,59842,3.572474
1135:ApriltagsCameraLog(1):,7,-42.829630,-4.098000,-42.829630,-4.098000,-42.679503,2.644858,2.791337,3.188986,3.046645,51.159591,59843,3.572474
1156:ApriltagsCameraLog(1):,7,-42.679503,-4.005000,-42.679503,-4.005000,-42.529229,2.651030,2.744733,3.196024,3.139708,51.159591,59844,3.572474
1187:ApriltagsCameraLog(1):,7,-42.529229,-4.002000,-42.529229,-4.002000,-42.379176,2.657189,2.709074,3.203086,3.182505,51.159591,59846,3.572474
1210:ApriltagsCameraLog(1):,7,-42.379176,-4.019000,-42.379176,-4.019000,-42.229698,2.663321,2.687532,3.210152,3.201069,51.159591,59847,3.572474
1263:ApriltagsCameraLog(1):,7,-42.229698,-4.474000,-42.229698,-4.474000,-42.080877,2.669410,2.677382,3.217208,3.209465,51.159591,59852,3.572474
1289:ApriltagsCameraLog(1):,7,-42.080877,-4.117000,-42.080877,-4.117000,-41.944432,2.673570,2.674804,3.225951,3.214501,51.118965,59856,3.569935
1324:ApriltagsCameraLog(1):,7,-41.944432,-3.731000,-41.944432,-3.731000,-41.797050,2.680981,2.676091,3.230717,3.220222,51.159591,59863,3.572474
1341:ApriltagsCameraLog(1):,7,-41.797050,-3.869000,-41.797050,-3.869000,-41.648823,2.686932,2.680183,3.237719,3.224468,51.159591,59864,3.572474
1359:ApriltagsCameraLog(1):,7,-41.648823,-3.822000,-41.648823,-3.822000,-41.501705,2.692899,2.685612,3.244776,3.229746,51.159591,59865,3.572474
1385:ApriltagsCameraLog(1):,7,-41.501705,-3.917000,-41.501705,-3.917000,-41.354976,2.696902,2.691587,3.253480,3.235798,51.118965,59866,3.569935
