623:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
1009:ApriltagsCameraLog(1):,7,-44.990000,-4.136000,-44.990000,-4.136000,-44.990000,2.554030,0.000000,3.089525,0.000000,1.000000,186228,3.572474
1059:ApriltagsCameraLog(1):,7,-44.990000,-3.967000,-44.990000,-3.967000,-38.181000,2.554030,1.708268,3.089525,1.126303,1.000000,186230,3.572474
1089:ApriltagsCameraLog(1):,7,-38.181000,-4.008000,-38.181000,-4.008000,-32.468667,2.827208,2.369360,3.414186,1.985916,1.000000,186231,3.572474
1140:ApriltagsCameraLog(1):,7,-32.468667,-3.924000,-32.468667,-3.924000,-27.723556,3.025353,2.743934,3.709977,2.644306,1.000000,186232,3.572474
1189:ApriltagsCameraLog(1):,7,-27.723556,-3.984000,-27.723556,-3.984000,-23.755296,3.166889,2.975958,3.969695,3.148452,1.000000,186237,3.572474
1230:ApriltagsCameraLog(1):,7,-23.755296,-3.898000,-23.755296,-3.898000,-20.458414,3.268420,3.130046,4.195276,3.543049,1.000000,186240,3.572474
1274:ApriltagsCameraLog(1):,7,-20.458414,-3.989000,-20.458414,-3.989000,-17.696678,3.340735,3.238301,4.387672,3.859552,1.000000,186245,3.572474
1314:ApriltagsCameraLog(1):,7,-17.696678,-3.874000,-17.696678,-3.874000,-15.412065,3.392712,3.315722,4.551821,4.117802,1.000000,186251,3.572474
1333:ApriltagsCameraLog(1):,7,-15.412065,-4.022000,-15.412065,-4.022000,-13.489054,3.429690,3.372362,4.689376,4.331172,1.000000,186253,3.572474
1351:ApriltagsCameraLog(1):,7,-13.489054,-4.167000,-13.489054,-4.167000,-11.911212,3.454075,3.413324,4.806819,4.508074,1.000000,186254,3.569935
1368:ApriltagsCameraLog(1):,7,-11.911212,-4.079000,-11.911212,-4.079000,-10.620510,3.475641,3.442097,4.902733,4.656172,1.000000,186255,3.572474
1384:ApriltagsCameraLog(1):,7,-10.620510,-3.973000,-10.620510,-3.973000,-9.530258,3.491778,3.464724,4.981576,4.778580,1.000000,186256,3.575014
1406:ApriltagsCameraLog(1):,7,-9.530258,-3.935000,-9.530258,-3.935000,-8.604048,3.501914,3.482348,5.048843,4.879487,1.000000,186257,3.575014
1422:ApriltagsCameraLog(1):,7,-8.604048,-3.849000,-8.604048,-3.849000,-7.825874,3.507007,3.495003,5.106511,4.963807,1.000000,186258,3.572474
1440:ApriltagsCameraLog(1):,7,-7.825874,-3.878000,-7.825874,-3.878000,-7.163061,3.515190,3.503067,5.154353,5.034970,36.717368,186259,3.575014
1459:ApriltagsCameraLog(1):,7,-7.163061,-3.771000,-7.163061,-3.771000,-7.145265,3.519505,3.510829,5.195484,5.094473,35.152194,186260,3.575014
1478:ApriltagsCameraLog(1):,7,-7.145265,-3.812000,-7.145265,-3.812000,-7.126175,3.519614,3.516644,5.196589,5.144837,34.986621,186261,3.575014
1497:ApriltagsCameraLog(1):,7,-7.126175,-3.808000,-7.126175,-3.808000,-7.107337,3.519731,3.518873,5.197775,5.170663,34.944129,186262,3.575014
1527:ApriltagsCameraLog(1):,7,-7.107337,-3.816000,-7.107337,-3.816000,-7.078561,3.519846,3.519690,5.198944,5.184203,34.868554,186263,3.575014
1555:ApriltagsCameraLog(1):,7,-7.078561,-3.924000,-7.078561,-3.924000,-7.059898,3.517500,3.519977,5.201044,5.191570,34.456030,186264,3.572474
1588:ApriltagsCameraLog(1):,7,-7.059898,-4.038000,-7.059898,-4.038000,-7.041772,3.517612,3.518868,5.202203,5.196340,34.082743,186266,3.572474
1602:ApriltagsCameraLog(1):,7,-7.041772,-3.964000,-7.041772,-3.964000,-7.024248,3.517722,3.518317,5.203328,5.199287,34.239960,186267,3.572474
1618:ApriltagsCameraLog(1):,7,-7.024248,-3.975000,-7.024248,-3.975000,-7.006477,3.517827,3.518073,5.204415,5.201315,34.159701,186268,3.572474
1639:ApriltagsCameraLog(1):,7,-7.006477,-3.995000,-7.006477,-3.995000,-6.988831,3.517933,3.517991,5.205518,5.202868,34.053420,186269,3.572474
1659:ApriltagsCameraLog(1):,7,-6.988831,-3.939000,-6.988831,-3.939000,-6.971351,3.518038,3.517996,5.206613,5.204193,34.161341,186270,3.572474
1681:ApriltagsCameraLog(1):,7,-6.971351,-3.985000,-6.971351,-3.985000,-6.953701,3.518142,3.518049,5.207698,5.205402,33.982721,186271,3.572474
1714:ApriltagsCameraLog(1):,7,-6.953701,-3.983000,-6.953701,-3.983000,-6.936331,3.518247,3.518125,5.208794,5.206549,33.938686,186272,3.572474
1728:ApriltagsCameraLog(1):,7,-6.936331,-3.963000,-6.936331,-3.963000,-6.919029,3.518350,3.518215,5.209872,5.207669,33.946088,186273,3.572474
1741:ApriltagsCameraLog(1):,7,-6.919029,-4.238000,-6.919029,-4.238000,-6.901715,3.518452,3.518311,5.210946,5.208769,33.123615,186274,3.572474
